E01A01_A01_01.ab1 Results

Enzyme Name	Cut Positions
BssMI		435
BssT1I		179, 634, 793
BstAPI		517
Bst4CI		387
BstC8I		173, 210, 715
BstDEI		10, 104, 546
BstDSI		423
BstH2I		594
BstHHI		522, 593
BstKTI		438
BstMAI		115
BstMBI		435
BstMWI		148, 481, 517
BstNI		565, 727
BstOI		565, 727
BstSCI		563, 725
BstSLI		6
Bst2UI		565, 727
BstV1I		144
BsuI		293
BsuRI		581, 633, 730
BtgI		423
BthCI		160, 733
BtsI		529
BveI		663
Cac8I		173, 210, 715
CciI		62
CfoI		522, 593
CfrI		579, 728
Cfr13I		498, 695, 723
ChaI		439
CjeI		442
CjeNII		384
CjePI		171, 324, 785
CjeP659IV		74
CjuI		74
Csp6I		460
CviAII		63, 262, 433, 734
CviJI		142, 151, 157, 185, 346, 354, 421, 457, 484, 581, 633, 657, 730
CviKI-1		142, 151, 157, 185, 346, 354, 421, 457, 484, 581, 633, 657, 730
CviQI		460
DdeI		10, 104, 546
DpnI		437
DpnII		435
DraRI		298, 471, 582
DrdII		487
EaeI		579, 728
Eco31I		115
Eco47I		498, 695, 723
Eco47III		592
Eco57I		620
Eco88I		392
Eco130I		179, 634, 793
Eco57MI		620
EcoRI		799
EcoRII		563, 725
EcoT14I		179, 634, 793
ErhI		179, 634, 793
EsaBC3I		394
EsaSSI		424
FaeI		66, 265, 436, 737
FaiI		33, 64, 78, 163, 251, 263, 337, 418, 434, 466, 518, 573, 618, 735
FalI		577, 609
FaqI		433
FatI		62, 261, 432, 733
FauI		747
FinI		447
FmuI		501, 698, 726
Fnu4HI		158, 731
FspI		521
FspBI		148, 658
FspEI		20, 42, 87, 91, 134, 166, 185, 185, 209, 228, 248, 278, 305, 330, 353, 368, 410, 435, 451, 463, 472, 493, 514, 550, 551, 575, 593, 595, 615, 636, 639, 658, 659, 678, 706, 711, 736, 739, 758, 777, 780, 806, 806, 824
Fsp4HI		158, 731
GdiII		579, 728
GlaI		521, 592
GluI		158, 731
HaeI		633
HaeII		594
HaeIII		581, 633, 730
HaeIV		680, 711
HhaI		522, 593
Hin1II		66, 265, 436, 737
Hin4I		679, 711
Hin6I		520, 591
HinP1I		520, 591
HincII		90
HindII		90
HinfI		390
HphI		110
Hpy8I		90, 118, 232, 498, 543, 790
Hpy166II		90, 118, 232, 498, 543, 790
Hpy188I		55, 549, 600
Hpy188III		63, 394
HpyAV		601, 656, 778
HpyCH4III		387
HpyCH4V		175, 208, 555, 616
HpyF3I		10, 104, 546
HpyF10VI		148, 481, 517
Hsp92II		66, 265, 436, 737
HspAI		520, 591
Kzo9I		435
LpnI		592
LpnPI		91, 134, 185, 194, 278, 550, 577, 595, 636, 639, 658, 678, 712, 739
Lsp1109I		144
MaeI		148, 658
MaeIII		387
MalI		437
MboI		435
MboII		597, 613
MfeI		365, 502
MhlI		6
MjaIV		87, 115, 229, 495, 540, 787
MlyI		384
MnlI		17, 465, 814
MroXI		592
MseI		332, 778
MslI		239, 334, 686
MspJI		22, 29, 42, 49, 66, 87, 91, 113, 116, 133, 134, 155, 158, 175, 184, 195, 221, 229, 247, 248, 274, 278, 296, 307, 316, 324, 354, 363, 373, 391, 408, 422, 426, 445, 451, 462, 472, 503, 505, 524, 524, 542, 550, 563, 568, 584, 594, 609, 611, 629, 639, 647, 659, 666, 679, 685, 696, 705, 713, 722, 736, 739, 754, 767, 780, 805, 806, 823
MspR9I		565, 727
MunI		365, 502
MvaI		565, 727
Mva1269I		717
MwoI		148, 481, 517
NdeII		435
NgoAVIII		117
NlaIII		66, 265, 436, 737
NlaIV		5, 213, 569
Nli3877I		396
NmuCI		387
NsbI		521
PabI		462
PaeR7I		392
PagI		62
PctI		717
PdmI		592
PflMI		507, 629
PhoI		581, 633, 730
PleI		384
PpsI		384
PshBI		332
Psp03I		501, 698, 726
Psp6I		563, 725
PspGI		563, 725
PspN4I		5, 213, 569
PspPI		498, 695, 723
PsrI		505
RcaI		62
RsaI		461
RsaNI		460
RseI		239, 334, 686
SaqAI		332, 778
SatI		158, 731
Sau96I		498, 695, 723
Sau3AI		435
SchI		384
SciI		394
ScrFI		565, 727
SdeAI		609, 631
SduI		6
SetI		9, 144, 153, 159, 217, 348, 459, 465, 486, 648, 677, 697, 766, 789
Sfr274I		392
SgeI		49, 75, 92, 118, 122, 148, 158, 184, 195, 221, 248, 274, 279, 305, 337, 363, 378, 404, 408, 426, 434, 452, 479, 505, 524, 542, 550, 568, 568, 594, 609, 635, 640, 659, 666, 679, 685, 696, 705, 713, 722, 739, 741, 767, 780, 806
SimI		109
SinI		498, 695, 723
SlaI		392
SmiMI		239, 334, 686
SmlI		392
SmoI		392
SmuI		747
Sse9I		34, 311, 365, 502, 627, 677, 745, 799, 813
SsiI		731, 754
SspD5I		109
Sth132I		429, 545, 746
StrI		392
StyI		179, 634, 793
StyD4I		563, 725
TaaI		387
TaqI		393
TasI		34, 311, 365, 502, 627, 677, 745, 799, 813
TauI		733
TliI		392
Tru1I		332, 778
Tru9I		332, 778
TscAI		529
TseI		157
TsoI		645
Tsp45I		387
Tsp509I		34, 311, 365, 502, 627, 677, 745, 799, 813
TspDTI		51, 79, 98, 272, 620
TspEI		34, 311, 365, 502, 627, 677, 745, 799, 813
TspRI		529
TstI		323
TsuI		427
UnbI		497, 694, 722
Van91I		507, 629
VpaK11AI		497, 694, 722
VpaK11BI		498, 695, 723
VspI		332
XapI		311, 745, 799
XhoI		392
XmnI		592
XspI		148, 658

------------------------------

E02B10_E07_09.ab1 Results

Enzyme Name	Cut Positions
AanI		192
AccI		327
AccII		216
AceIII		113
AciI		214, 722
AclWI		392
AcoI		60
AcuI		51, 648
AfaI		46, 302
AfiI		764
AgsI		395, 464, 536, 641
AluI		103, 365, 572, 665
AluBI		103, 365, 572, 665
AlwI		392
Alw21I		180
Alw26I		508
AlwFI		463
AlwNI		253
AoxI		60, 415
ApeKI		527, 679
AseI		258
Asi256I		368, 398, 632
Asp700I		740
AssI		302
AsuC2I		294
AsuHPI		601
BalI		62
BauI		104
Bbr7I		304
BbsI		309
BbvI		539, 666
Bbv12I		180
BccI		130, 260, 449, 763
BcnI		294
BfaI		243
BfuCI		367, 397, 631
BglII		631
BisI		528, 680
BlsI		529, 681
BmcAI		302
Bme1390I		294
BmiI		141, 754
BmrFI		294
BmsI		175, 463, 514
BpiI		309
BpuAI		309
BpuEI		765
BpuMI		294
BsaJI		63, 412
BsbI		16
Bsc4I		764
BscAI		174, 466, 517
BseDI		63, 412
BseGI		320, 478, 774
BseLI		764
BseMII		184, 739
BseXI		539, 666
BsgI		390
Bsh1236I		216
BshFI		62, 417
BsiHKAI		180
BsiSI		294
BslI		764
BslFI		235
BsmAI		508
BsmFI		235
BsnI		62, 417
Bsp19I		412
Bsp143I		367, 397, 631
Bsp1286I		180
BspACI		214, 722
BspCNI		183, 740
BspD6I		94
BspFNI		216
BspHI		493
BspLI		141, 754
BspNCI		88
BspPI		392
BssECI		63, 412
BssKI		292
BssMI		367, 397, 631
BssSI		104
BssT1I		63, 412
Bst2BI		104
BstC8I		24
BstDEI		3, 170, 748
BstDSI		412
BstF5I		320, 478, 774
BstFNI		216
BstKTI		370, 400, 634
BstMAI		508
BstMBI		367, 397, 631
BstMWI		362, 730
BstSCI		292
BstUI		216
BstV1I		539, 666
BstV2I		309
BstX2I		397, 631
BstYI		397, 631
BsuRI		62, 417
BtgI		412
BthCI		530, 682
BtsI		138
BtsCI		320, 478, 774
Cac8I		24
CaiI		253
CciI		493
CfrI		60
ChaI		371, 401, 635
CjeI		354
CjePI		106, 151, 354
CjeP659IV		725
Csp6I		45, 301
CspCI		542
CstMI		486
CviAII		71, 128, 413, 486, 494, 558, 586, 645, 676
CviJI		55, 62, 68, 103, 111, 365, 417, 572, 604, 612, 665, 671, 710, 733, 786
CviKI-1		55, 62, 68, 103, 111, 365, 417, 572, 604, 612, 665, 671, 710, 733, 786
CviQI		45, 301
DdeI		3, 170, 748
DpnI		369, 399, 633
DpnII		367, 397, 631
DrdII		139
EaeI		60
Eco57I		51, 648
Eco130I		63, 412
EcoHI		292
Eco57MI		51, 648
EcoT14I		63, 412
ErhI		63, 412
FaeI		74, 131, 416, 489, 497, 561, 589, 648, 679
FaiI		11, 72, 129, 152, 192, 224, 275, 414, 447, 469, 487, 495, 501, 559, 587, 646, 677, 705
FalI		589, 621
FaqI		235
FatI		70, 127, 412, 485, 493, 557, 585, 644, 675
FblI		327
FinI		249
Fnu4HI		528, 680
FokI		307, 485, 781
FspBI		243
FspEI		15, 18, 36, 37, 75, 76, 100, 122, 125, 148, 156, 194, 219, 219, 252, 265, 279, 306, 322, 337, 365, 366, 399, 414, 419, 437, 441, 455, 472, 520, 544, 566, 594, 618, 653, 676, 714, 722, 735, 750, 758, 768
Fsp4HI		528, 680
GluI		528, 680
HaeI		62, 417
HaeIII		62, 417
HapII		294
Hin1II		74, 131, 416, 489, 497, 561, 589, 648, 679
HinfI		86
HpaII		294
HphI		601
Hpy8I		328
Hpy166II		328
Hpy188I		792
Hpy188III		2, 106, 376, 494, 658, 716
HpyAV		26, 428, 559, 574, 730
HpyCH4V		26, 131, 263, 407, 527, 619
HpyF3I		3, 170, 748
HpyF10VI		362, 730
Hsp92II		74, 131, 416, 489, 497, 561, 589, 648, 679
Kzo9I		367, 397, 631
LlaGI		372
LpnPI		15, 36, 75, 266, 279, 307, 375, 668, 729
Lsp1109I		539, 666
LweI		175, 463, 514
MaeI		243
MaeIII		589, 658
MalI		369, 399, 633
MboI		367, 397, 631
MboII		309, 407, 641
MfeI		390
MflI		397, 631
MhlI		180
MjaIV		325
MlsI		62
MluNI		62
MlyI		80
MnlI		216, 374, 412, 427, 743, 758
MroXI		740
MscI		62
MseI		119, 258, 480, 595
MslI		171, 311, 498
MspI		294
Msp20I		62
MspA1I		365
MspJI		9, 14, 35, 37, 57, 75, 75, 92, 102, 114, 132, 138, 149, 163, 182, 201, 219, 225, 251, 275, 276, 296, 305, 317, 339, 343, 357, 360, 378, 390, 411, 423, 432, 454, 456, 472, 473, 494, 498, 520, 525, 544, 551, 570, 572, 592, 598, 618, 631, 639, 653, 657, 676, 686, 702, 708, 728, 735, 746, 757, 769, 776
MspR9I		294
MunI		390
MvnI		216
MwoI		362, 730
NciI		294
NcoI		412
NdeII		367, 397, 631
NhaXI		504
NlaIII		74, 131, 416, 489, 497, 561, 589, 648, 679
NlaIV		141, 754
NlaCI		116
NmuCI		589, 658
PabI		47, 303
PagI		493
PdmI		740
PhoI		62, 417
PlaDI		124
PleI		80
PpsI		80
PshBI		258
PsiI		192
PspN4I		141, 754
PspPRI		734
PstNI		253
PsuI		397, 631
PvuII		365
RcaI		493
RsaI		46, 302
RsaNI		45, 301
RseI		171, 311, 498
SaqAI		119, 258, 480, 595
SatI		528, 680
Sau3AI		367, 397, 631
ScaI		302
SchI		80
ScrFI		294
SduI		180
SelI		214
SetI		37, 105, 367, 574, 585, 667, 741
SfaNI		175, 463, 514
SgeI		9, 14, 35, 50, 76, 76, 102, 114, 140, 201, 225, 227, 251, 279, 305, 317, 339, 343, 357, 365, 383, 399, 425, 447, 472, 473, 494, 498, 520, 525, 544, 551, 570, 572, 592, 598, 618, 631, 657, 662, 688, 702, 728, 745, 768, 771
SmiMI		171, 311, 498
SmlI		780
SmoI		780
Sse9I		48, 334, 390, 687
SsiI		214, 722
SspD5I		601
Sth132I		300
Sth302II		295
StsI		306, 486, 782
StyI		63, 412
StyD4I		292
TasI		48, 334, 390, 687
TatI		44, 300
Tru1I		119, 258, 480, 595
Tru9I		119, 258, 480, 595
TscAI		138, 178, 352, 752
TseI		527, 679
TsoI		43, 81, 106, 600
Tsp45I		589, 658
Tsp509I		48, 334, 390, 687
TspDTI		309, 482, 510
TspEI		48, 334, 390, 687
TspGWI		313
TspRI		138, 178, 352, 752
TsuI		215
Tth111II		369, 570
VspI		258
XhoII		397, 631
XmiI		327
XmnI		740
XspI		243
ZrmI		302

------------------------------

